City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
212,La Romana,DO,18.4273,-68.9728,91.76,66,75,4.61,broken clouds,2021-07-23 19:45:49
213,Tuatapere,NZ,-46.1333,167.6833,40.82,91,42,5.61,scattered clouds,2021-07-23 19:45:49
214,Rundu,NA,-17.9333,19.7667,49.19,16,0,7.16,clear sky,2021-07-23 19:45:49
215,Dingle,PH,10.9995,122.6711,78.17,86,100,12.17,light rain,2021-07-23 19:43:27
216,Begowal,IN,31.6167,75.5167,87.82,61,3,5.14,clear sky,2021-07-23 19:45:50
217,Merauke,ID,-8.4667,140.3333,73.94,86,75,9.8,broken clouds,2021-07-23 19:45:50
218,Malpe,IN,13.35,74.7167,79.9,88,99,12.5,overcast clouds,2021-07-23 19:45:51
219,Bandarbeyla,SO,9.4942,50.8122,76.68,83,32,35.59,scattered clouds,2021-07-23 19:45:51
220,Tucuman,AR,-26.8241,-65.2226,78.8,31,0,0.0,smoke,2021-07-23 19:42:37
221,Bethel,US,41.3712,-73.414,82.49,54,20,1.01,few clouds,2021-07-23 19:45:51
222,Saltpond,GH,5.2091,-1.0606,75.2,84,100,8.77,overcast clouds,2021-07-23 19:45:52
223,Changde,CN,29.0464,111.6783,75.47,96,99,6.46,light rain,2021-07-23 19:45:52
224,Kruisfontein,ZA,-34.0033,24.7314,44.89,77,41,4.76,scattered clouds,2021-07-23 19:45:52
225,Vondrozo,MG,-22.8167,47.2833,59.52,98,76,4.25,light rain,2021-07-23 19:45:53
226,Leh,IN,34.1667,77.5833,65.61,48,18,5.35,few clouds,2021-07-23 19:45:53
227,Yar-Sale,RU,66.8333,70.8333,50.67,91,93,22.32,overcast clouds,2021-07-23 19:45:53
228,Namibe,AO,-15.1961,12.1522,65.75,93,16,4.21,few clouds,2021-07-23 19:44:19
229,Honiara,SB,-9.4333,159.95,76.55,85,100,4.36,overcast clouds,2021-07-23 19:45:54
230,Moose Factory,CA,51.2585,-80.6094,80.6,41,1,9.22,clear sky,2021-07-23 19:45:54
231,Abu Dhabi,AE,24.4667,54.3667,104.11,53,0,3.44,clear sky,2021-07-23 19:45:54
232,Port Hardy,CA,50.6996,-127.4199,59.18,88,90,4.61,overcast clouds,2021-07-23 19:45:13
233,Dikson,RU,73.5069,80.5464,43.92,71,98,11.92,overcast clouds,2021-07-23 19:42:17
234,Ilulissat,GL,69.2167,-51.1,44.62,76,75,5.75,light rain,2021-07-23 19:42:21
235,Lebu,CL,-37.6167,-73.65,52.61,77,100,19.15,overcast clouds,2021-07-23 19:45:55
236,Karratha,AU,-20.7377,116.8463,69.76,39,7,10.2,clear sky,2021-07-23 19:45:55
237,Cradock,ZA,-32.1642,25.6192,34.29,84,21,4.03,few clouds,2021-07-23 19:45:56
238,Mareeba,AU,-17.0,145.4333,59.72,97,30,3.0,scattered clouds,2021-07-23 19:45:56
239,Mogok,MM,22.9167,96.5,67.46,99,97,2.66,overcast clouds,2021-07-23 19:45:56
240,Galle,LK,6.0367,80.217,78.4,86,100,10.36,moderate rain,2021-07-23 19:41:37
241,Caluquembe,AO,-13.7833,14.6833,55.17,19,14,2.84,few clouds,2021-07-23 19:45:57
242,Kuryk,KZ,43.2,51.65,83.21,49,2,10.38,clear sky,2021-07-23 19:45:57
243,Arlit,NE,18.7369,7.3853,98.87,24,18,8.32,few clouds,2021-07-23 19:45:57
244,Beyneu,KZ,45.3167,55.2,88.43,31,100,11.12,overcast clouds,2021-07-23 19:45:58
245,Camabatela,AO,-8.1881,15.375,64.9,25,27,0.83,scattered clouds,2021-07-23 19:45:58
246,Tahta,EG,26.7693,31.5021,89.92,23,0,6.96,clear sky,2021-07-23 19:45:58
247,Whitianga,NZ,-36.8333,175.7,49.51,89,9,3.71,clear sky,2021-07-23 19:45:59
248,Jiuquan,CN,39.7432,98.5174,81.52,31,2,3.04,clear sky,2021-07-23 19:45:59
249,Marawi,PH,7.9986,124.2928,71.65,89,100,6.29,overcast clouds,2021-07-23 19:45:59
250,Nanortalik,GL,60.1432,-45.2371,43.5,84,39,13.4,scattered clouds,2021-07-23 19:36:13
251,Jambi,ID,-1.6,103.6167,73.81,97,94,4.16,heavy intensity rain,2021-07-23 19:46:00
252,Koster,ZA,-25.863,26.8976,34.74,24,0,4.18,clear sky,2021-07-23 19:46:00
253,Manadhoo,MV,5.7667,73.3833,82.44,77,96,13.56,light rain,2021-07-23 19:36:41
254,Visnes,NO,59.3556,5.2242,65.57,82,5,5.75,clear sky,2021-07-23 19:46:01
255,Alakurtti,RU,66.9672,30.3491,49.62,63,100,7.92,overcast clouds,2021-07-23 19:46:01
256,Rodos,GR,36.4408,28.2225,83.86,51,0,11.01,clear sky,2021-07-23 19:46:01
