City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Rodos,GR,83.86,clear sky,36.4408,28.2225,Spirit of the Knights Boutique Hotel
258,Tarakan,ID,80.6,heavy intensity rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
262,Banda Aceh,ID,80.6,overcast clouds,5.5577,95.3222,Sulthan Hotel International
264,Tarabha,IN,78.21,very heavy rain,20.7333,83.65,The spicy house
271,Padang,ID,77.02,overcast clouds,-0.9492,100.3543,Mercure Padang
272,Moerai,PF,71.26,overcast clouds,-22.4333,-151.3333,Le Manotel
273,Santiago Del Estero,AR,84.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
274,Novokorsunskaya,RU,75.18,broken clouds,45.6408,39.1464,"Baza ""Kazach'ye Podvor'ye"""
276,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
277,Diebougou,BF,80.02,overcast clouds,10.9667,-3.25,Hotel Le Consulat
279,Wanning,CN,78.42,overcast clouds,18.8003,110.3967,Paradise Hotel
282,Kembe,CF,73.69,overcast clouds,4.6228,21.8865,Paradise Hotel
285,Tezu,IN,76.5,broken clouds,27.9167,96.1667,Circuit House
287,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
288,Guerrero Negro,MX,84.9,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
290,Chardara,KZ,81.55,clear sky,41.2547,67.9692,Жанаргул
295,Ramos,PH,75.56,light rain,15.6833,120.6333,La Romana Countryside Haven
296,Omboue,GA,73.15,broken clouds,-1.5746,9.2618,Hotel Olako
299,Newport,GB,74.86,overcast clouds,51.5877,-2.9984,ibis budget Newport
300,Sonqor,IR,79.61,clear sky,34.7837,47.6004,رینگ و لاستیک میلاد (غیاثی)
302,Umm Lajj,SA,86.58,clear sky,25.0213,37.2685,Moon light Furnished Units
303,Hami,CN,87.73,overcast clouds,42.8,93.45,Laoyutang Resort
304,Salinas,US,81.19,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
305,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
306,Lorengau,PG,81.03,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
308,Aradeo,IT,79.57,clear sky,40.1309,18.1296,B&B Li Culuri
310,Altamira,BR,87.89,broken clouds,-3.2033,-52.2064,Requinte Hotel
312,Larap,PH,79.36,heavy intensity rain,14.299,122.6504,Montemayor Cove
313,Haimen,CN,82.29,scattered clouds,23.1935,116.6142,Jinghao Business Hotel
314,Guilin,CN,77.11,clear sky,25.2819,110.2864,Grand 0773 Hotel
316,Bull Savanna,JM,86.2,broken clouds,17.8868,-77.5902,Big Red's
320,Lasem,ID,75.47,clear sky,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
326,Broome,US,80.02,scattered clouds,42.2506,-75.833,Chenango Valley State Park
327,Gopalpur,IN,82.38,very heavy rain,19.2667,84.9167,Gopalpur Palm Resort
329,Shimoda,JP,75.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
330,Qatana,SY,73.83,clear sky,33.4354,36.0815,جورج العين
331,Imbituba,BR,71.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
333,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
335,Fereydun Kenar,IR,83.84,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
336,Robertsport,LR,74.68,heavy intensity rain,6.7533,-11.3686,Kwepunha Retreat
